obsID obs_collection dataproduct_type obs_id description type dataURI productType productGroupDescription productSubGroupDescription productDocumentationURL project prvversion proposal_id productFilename size parent_obsid dataRights calib_level filters
23926263 HST image ic8k02ofq "DADS DRZ file - Calibrated combined image ACS/WFC3/WFPC2/STIS" S mast:HST/product/ic8k02ofq_drz.fits SCIENCE "Minimum Recommended Products" DRZ "" CALWF3 "3.7.1 (Oct-18-2023)" 13334 ic8k02ofq_drz.fits 217252800 23926263 PUBLIC 3 F606W
23926264 HST image ic8k02ohq "DADS DRZ file - Calibrated combined image ACS/WFC3/WFPC2/STIS" S mast:HST/product/ic8k02ohq_drz.fits SCIENCE "Minimum Recommended Products" DRZ "" CALWF3 "3.7.1 (Oct-18-2023)" 13334 ic8k02ohq_drz.fits 217304640 23926264 PUBLIC 3 F621M
23926265 HST image ic8k02ojq "DADS DRZ file - Calibrated combined image ACS/WFC3/WFPC2/STIS" S mast:HST/product/ic8k02ojq_drz.fits SCIENCE "Minimum Recommended Products" DRZ "" CALWF3 "3.7.1 (Oct-18-2023)" 13334 ic8k02ojq_drz.fits 217304640 23926265 PUBLIC 3 F621M
23926266 HST image ic8k02olq "DADS DRZ file - Calibrated combined image ACS/WFC3/WFPC2/STIS" S mast:HST/product/ic8k02olq_drz.fits SCIENCE "Minimum Recommended Products" DRZ "" CALWF3 "3.7.1 (Oct-18-2023)" 13334 ic8k02olq_drz.fits 217252800 23926266 PUBLIC 3 F606W
23926267 HST image ic8k02onq "DADS DRZ file - Calibrated combined image ACS/WFC3/WFPC2/STIS" S mast:HST/product/ic8k02onq_drz.fits SCIENCE "Minimum Recommended Products" DRZ "" CALWF3 "3.7.1 (Oct-18-2023)" 13334 ic8k02onq_drz.fits 217252800 23926267 PUBLIC 3 F606W
23926381 HST image ic8k51x2q "DADS DRZ file - Calibrated combined image ACS/WFC3/WFPC2/STIS" S mast:HST/product/ic8k51x2q_drz.fits SCIENCE "Minimum Recommended Products" DRZ "" CALWF3 "3.7.1 (Oct-18-2023)" 13334 ic8k51x2q_drz.fits 217200960 23926381 PUBLIC 3 F606W
23926382 HST image ic8k51x4q "DADS DRZ file - Calibrated combined image ACS/WFC3/WFPC2/STIS" S mast:HST/product/ic8k51x4q_drz.fits SCIENCE "Minimum Recommended Products" DRZ "" CALWF3 "3.7.1 (Oct-18-2023)" 13334 ic8k51x4q_drz.fits 217200960 23926382 PUBLIC 3 F621M
23926383 HST image ic8k51x6q "DADS DRZ file - Calibrated combined image ACS/WFC3/WFPC2/STIS" S mast:HST/product/ic8k51x6q_drz.fits SCIENCE "Minimum Recommended Products" DRZ "" CALWF3 "3.7.1 (Oct-18-2023)" 13334 ic8k51x6q_drz.fits 217200960 23926383 PUBLIC 3 F621M
23926384 HST image ic8k51x8q "DADS DRZ file - Calibrated combined image ACS/WFC3/WFPC2/STIS" S mast:HST/product/ic8k51x8q_drz.fits SCIENCE "Minimum Recommended Products" DRZ "" CALWF3 "3.7.1 (Oct-18-2023)" 13334 ic8k51x8q_drz.fits 217200960 23926384 PUBLIC 3 F606W
23926385 HST image ic8k51xaq "DADS DRZ file - Calibrated combined image ACS/WFC3/WFPC2/STIS" S mast:HST/product/ic8k51xaq_drz.fits SCIENCE "Minimum Recommended Products" DRZ "" CALWF3 "3.7.1 (Oct-18-2023)" 13334 ic8k51xaq_drz.fits 217200960 23926385 PUBLIC 3 F606W
23928514 HST image ic9t50dxq "DADS DRZ file - Calibrated combined image ACS/WFC3/WFPC2/STIS" S mast:HST/product/ic9t50dxq_drz.fits SCIENCE "Minimum Recommended Products" DRZ "" CALWF3 "3.7.1 (Oct-18-2023)" 13335 ic9t50dxq_drz.fits 13579200 23928514 PUBLIC 3 F814W
23928514 HST image ic9t50dxq "DADS DRZ file - Calibrated combined image ACS/WFC3/WFPC2/STIS" S mast:HST/product/ic9t50dxq_drz.fits SCIENCE "Minimum Recommended Products" DRZ "" CALWF3 "3.7.1 (Oct-18-2023)" 13335 ic9t50dxq_drz.fits 13579200 26597622 PUBLIC 3 F814W
23928515 HST image ic9t50dyq "DADS DRZ file - Calibrated combined image ACS/WFC3/WFPC2/STIS" S mast:HST/product/ic9t50dyq_drz.fits SCIENCE "Minimum Recommended Products" DRZ "" CALWF3 "3.7.1 (Oct-18-2023)" 13335 ic9t50dyq_drz.fits 13579200 23928515 PUBLIC 3 F555W
23928515 HST image ic9t50dyq "DADS DRZ file - Calibrated combined image ACS/WFC3/WFPC2/STIS" S mast:HST/product/ic9t50dyq_drz.fits SCIENCE "Minimum Recommended Products" DRZ "" CALWF3 "3.7.1 (Oct-18-2023)" 13335 ic9t50dyq_drz.fits 13579200 26597574 PUBLIC 3 F555W
23928516 HST image ic9t50dzq "DADS DRZ file - Calibrated combined image ACS/WFC3/WFPC2/STIS" S mast:HST/product/ic9t50dzq_drz.fits SCIENCE "Minimum Recommended Products" DRZ "" CALWF3 "3.7.1 (Oct-18-2023)" 13335 ic9t50dzq_drz.fits 3504960 23928516 PUBLIC 3 F555W
23928516 HST image ic9t50dzq "DADS DRZ file - Calibrated combined image ACS/WFC3/WFPC2/STIS" S mast:HST/product/ic9t50dzq_drz.fits SCIENCE "Minimum Recommended Products" DRZ "" CALWF3 "3.7.1 (Oct-18-2023)" 13335 ic9t50dzq_drz.fits 3504960 26597574 PUBLIC 3 F555W
23928517 HST image ic9t50e0q "DADS DRZ file - Calibrated combined image ACS/WFC3/WFPC2/STIS" S mast:HST/product/ic9t50e0q_drz.fits SCIENCE "Minimum Recommended Products" DRZ "" CALWF3 "3.7.1 (Oct-18-2023)" 13335 ic9t50e0q_drz.fits 13579200 23928517 PUBLIC 3 F555W
23928518 HST image ic9t50e1q "DADS DRZ file - Calibrated combined image ACS/WFC3/WFPC2/STIS" S mast:HST/product/ic9t50e1q_drz.fits SCIENCE "Minimum Recommended Products" DRZ "" CALWF3 "3.7.1 (Oct-18-2023)" 13335 ic9t50e1q_drz.fits 13579200 23928518 PUBLIC 3 F555W
